experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F18_reference_huber_010,test,wide_region_outlier_20_group,1,285720,0.06481711192757154,0.20349318021708893,0.35030812806989153,0.05218745625087498
F18_reference_huber_010,recent_holdout,exact_prev1_missing_group,0,208585,0.06463588957170324,0.1978104818915759,0.3459422713657156,0.04873792458709878
F18_reference_huber_010,recent_holdout,exact_prev1_missing_group,1,883,0.5298946740358605,1.143499995923993,6.82598549973858,0.6500566251415628
F18_reference_huber_010,recent_holdout,wide_prev1_present_exact_missing_group,0,209121,0.06641438883884583,0.201406664240068,0.36651988078490955,0.05080312355048034
F18_reference_huber_010,recent_holdout,wide_prev1_present_exact_missing_group,1,347,0.17674528852769483,0.4916131245315606,0.8147542648048326,0.33429394812680113
F18_reference_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,1-30,144144,0.0576281029006196,0.17348034668576903,0.2930429267287642,0.034257409257409256
F18_reference_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,181-365,7137,0.09438234377212967,0.27968201147601196,0.4776037469957111,0.1136331792069497
F18_reference_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,31-90,37968,0.06686208151799139,0.19812432133495436,0.331517035500535,0.04909397387273493
F18_reference_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,366-730,3303,0.11618282536701427,0.36221138327819535,0.6618360012674144,0.174084165909779
F18_reference_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,731+,3281,0.1673866242682202,0.4910669261876319,0.8202420972142747,0.3136238951539165
F18_reference_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,91-180,12752,0.08078403990109366,0.23249066306401772,0.3938453814264409,0.07441969887076537
F18_reference_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,missing_or_negative,883,0.5298946740358605,1.143499995923993,6.82598549973858,0.6500566251415628
F18_reference_huber_010,recent_holdout,prev1_gap_bucket_plus,1-30,148451,0.05823768379341602,0.17556985268473677,0.29760986132607814,0.03539214959818391
F18_reference_huber_010,recent_holdout,prev1_gap_bucket_plus,181-365,6418,0.09687627585559547,0.28603471560156835,0.4902055549822734,0.12371455282019321
F18_reference_huber_010,recent_holdout,prev1_gap_bucket_plus,31-90,37152,0.06787728775579038,0.2027244689778331,0.3450447652345424,0.05157192075796727
F18_reference_huber_010,recent_holdout,prev1_gap_bucket_plus,366-730,2677,0.12007409357725984,0.37414296574341493,0.6671858578473753,0.18490847964138962
F18_reference_huber_010,recent_holdout,prev1_gap_bucket_plus,731+,2322,0.19484902212813238,0.5434167755964546,0.8385231686384457,0.39147286821705424
F18_reference_huber_010,recent_holdout,prev1_gap_bucket_plus,91-180,11912,0.08231686816523238,0.24064545760602543,0.4145174070581892,0.07672934855607791
F18_reference_huber_010,recent_holdout,prev1_gap_bucket_plus,missing_or_negative,536,0.7585193695047664,2.448614031307737,7.970107967422248,0.8544776119402985
F18_reference_huber_010,recent_holdout,prev2_gap_bucket_plus,1-30,103247,0.05616271905989202,0.16812993948385102,0.28305480962137913,0.03154571077125728
F18_reference_huber_010,recent_holdout,prev2_gap_bucket_plus,181-365,13179,0.08293127769601817,0.24603392151019218,0.42449181731918767,0.08323848546930723
F18_reference_huber_010,recent_holdout,prev2_gap_bucket_plus,31-90,58745,0.06192323946376012,0.18746619609520349,0.314078449578907,0.04177376798025364
F18_reference_huber_010,recent_holdout,prev2_gap_bucket_plus,366-730,5741,0.09880950682740064,0.29866200553088956,0.5367889617863018,0.1290715903152761
F18_reference_huber_010,recent_holdout,prev2_gap_bucket_plus,731+,5009,0.14517667187552685,0.44104146617383605,0.774260364128269,0.2583349970053903
F18_reference_huber_010,recent_holdout,prev2_gap_bucket_plus,91-180,22430,0.07244399798291398,0.20868535731748633,0.3651239587468373,0.05702184574230941
F18_reference_huber_010,recent_holdout,prev2_gap_bucket_plus,missing_or_negative,1117,0.44882323614943853,0.929941622395446,6.659183937016624,0.5532676812891674
F18_reference_huber_010,recent_holdout,wide_prev_jump_20_group,0,191409,0.06063332947239592,0.17849501033498388,0.34059775281263477,0.03806508575876787
F18_reference_huber_010,recent_holdout,wide_prev_jump_20_group,1,18059,0.12980835386818518,0.31717521792982845,0.5151284027682971,0.1912619746386843
